StudentID,Subject,Test1,Test2,Final
1,Math,97,60,62
2,Math,59,49,62
3,Science,71,74,77
4,Math,73,71,76
5,Math,65,71,82
6,English,82,53,51
7,Science,54,84,97
8,Science,58,78,98
9,Math,51,99,50
10,Science,63,82,58
11,Math,98,46,85
12,English,53,81,84
13,Math,55,84,53
14,Math,66,46,46
15,English,99,77,91
16,Science,91,73,95
17,Science,67,91,82
18,English,94,77,69
19,English,53,93,88
20,Science,48,73,43
21,Math,87,87,80
22,Math,68,97,91
23,English,99,99,48
24,Math,44,88,87
25,Math,85,86,59
26,Math,40,94,63
27,Science,41,80,93
28,Math,64,80,80
29,Science,91,82,56
30,English,89,61,41
31,Science,82,68,67
32,Math,44,70,69
33,Math,61,79,71
34,Math,73,74,48
35,Science,88,80,57
36,Science,78,78,48
37,Science,97,60,57
38,English,96,70,78
39,English,84,87,53
40,Science,93,84,89
41,Science,98,56,71
42,Science,80,58,97
43,Science,93,57,84
44,Math,56,54,97
45,English,77,78,94
46,Math,45,74,78
47,Science,93,98,86
48,English,52,46,45
49,Math,54,62,75
50,Science,68,50,78
51,English,67,47,77
52,Science,66,68,89
53,English,63,54,79
54,Math,87,89,62
55,Math,77,64,68
56,Math,78,60,91
57,English,75,51,73
58,Science,79,68,60
59,English,51,58,91
60,English,74,64,47
61,Science,87,59,98
62,Science,83,98,91
63,English,68,71,42
64,English,85,84,54
65,Math,55,87,44
66,Science,41,64,89
67,Science,86,47,74
68,English,77,93,81
69,English,75,85,96
70,English,83,64,73
71,Science,52,65,56
72,Science,55,95,99
73,Science,69,61,93
74,English,57,49,99
75,Math,61,94,84
76,Science,88,41,73
77,Math,45,45,92
78,Science,79,69,61
79,English,85,51,79
80,Math,51,57,47
81,Math,50,99,61
82,English,48,94,94
83,English,40,66,86
84,Science,56,40,52
85,Math,63,41,85
86,English,61,45,52
87,English,83,98,60
88,Science,89,62,78
89,Math,66,69,80
90,Math,59,50,74
91,Math,97,96,59
92,Math,75,99,68
93,English,62,90,97
94,English,81,41,75
95,Math,88,77,52
96,Science,48,53,97
97,English,72,56,83
98,English,47,51,45
99,Math,88,71,58
100,Math,72,55,60
