Title,Genre,Year,Rating,Votes
Movie 1,Drama,1996,8.5,3362
Movie 2,Action,2010,2.7,4014
Movie 3,Action,1998,5.9,1368
Movie 4,Action,2015,5.7,9824
Movie 5,Drama,2010,9.2,1672
Movie 6,Drama,2003,7.9,3937
Movie 7,Action,2008,6.7,6065
Movie 8,Comedy,1996,3.9,3549
Movie 9,Comedy,2021,3.3,1431
Movie 10,Action,2005,6.0,8444
Movie 11,Action,2018,2.9,6096
Movie 12,Drama,2004,6.1,8121
Movie 13,Action,2016,2.0,9544
Movie 14,Action,2014,4.2,4069
Movie 15,Comedy,2021,9.3,8091
Movie 16,Comedy,2006,3.3,3127
Movie 17,Drama,2014,6.1,3687
Movie 18,Drama,2006,3.0,5808
Movie 19,Action,1993,5.3,3875
Movie 20,Drama,2005,5.0,3871
Movie 21,Action,2005,6.0,7790
Movie 22,Action,2010,7.4,5331
Movie 23,Horror,1998,2.8,9041
Movie 24,Horror,2010,6.5,2921
Movie 25,Horror,2017,6.6,6136
Movie 26,Horror,2020,9.0,822
Movie 27,Comedy,2000,5.4,5619
Movie 28,Comedy,1991,8.3,8953
Movie 29,Action,2011,3.6,4901
Movie 30,Action,1990,9.2,8765
Movie 31,Drama,1993,3.2,6221
Movie 32,Horror,2005,6.0,8379
Movie 33,Horror,2012,3.4,6868
Movie 34,Drama,2015,7.1,1946
Movie 35,Horror,2021,4.2,5071
Movie 36,Action,2017,4.0,7461
Movie 37,Action,2002,6.1,645
Movie 38,Action,2010,9.0,1684
Movie 39,Comedy,2013,7.3,5195
Movie 40,Action,1990,6.7,9958
Movie 41,Action,2015,8.4,1311
Movie 42,Comedy,1992,7.5,618
Movie 43,Comedy,2015,6.9,313
Movie 44,Horror,1990,3.0,2036
Movie 45,Comedy,2001,3.4,7938
Movie 46,Action,2012,4.3,4606
Movie 47,Drama,1995,2.5,1612
Movie 48,Horror,2004,8.2,6101
Movie 49,Drama,2008,2.8,7878
Movie 50,Action,2007,2.0,2720
Movie 51,Comedy,2011,8.5,597
Movie 52,Comedy,2011,6.9,1211
Movie 53,Comedy,2008,8.5,6529
Movie 54,Comedy,2003,7.1,3738
Movie 55,Action,2016,6.2,8684
Movie 56,Drama,2002,4.8,5845
Movie 57,Horror,2012,2.7,5381
Movie 58,Comedy,2006,3.8,1603
Movie 59,Comedy,2009,4.1,9236
Movie 60,Drama,2017,7.5,6727
Movie 61,Horror,2007,2.7,4438
Movie 62,Comedy,1998,8.9,8259
Movie 63,Action,1998,8.7,3020
Movie 64,Comedy,2010,7.6,4875
Movie 65,Comedy,1994,6.7,9644
Movie 66,Drama,1996,2.8,8257
Movie 67,Horror,2012,2.1,7512
Movie 68,Action,1999,4.8,730
Movie 69,Action,1995,3.0,5220
Movie 70,Action,2020,4.7,7414
Movie 71,Action,2005,4.9,7617
Movie 72,Comedy,2018,5.7,4162
Movie 73,Drama,2014,5.9,7929
Movie 74,Horror,2014,4.7,2873
Movie 75,Horror,2006,8.4,7076
Movie 76,Horror,1990,1.0,2566
Movie 77,Horror,2016,2.8,7266
Movie 78,Comedy,2019,7.1,3304
Movie 79,Drama,2018,7.1,6820
Movie 80,Action,1990,7.4,3502
Movie 81,Comedy,1993,8.1,7901
Movie 82,Action,1996,9.4,8175
Movie 83,Drama,2006,5.6,9067
Movie 84,Comedy,2001,9.8,5051
Movie 85,Horror,2019,2.1,2876
Movie 86,Action,1991,8.0,8181
Movie 87,Horror,2021,7.9,2274
Movie 88,Action,2010,1.6,2624
Movie 89,Drama,2017,1.2,8898
Movie 90,Comedy,1994,5.8,4565
Movie 91,Horror,2006,5.3,2069
Movie 92,Horror,2003,8.0,9935
Movie 93,Action,1996,8.7,8719
Movie 94,Drama,2015,6.1,7098
Movie 95,Comedy,2016,8.3,2311
Movie 96,Horror,1991,3.9,8191
Movie 97,Drama,1998,2.1,3366
Movie 98,Comedy,2018,5.1,6620
Movie 99,Action,2013,2.8,6135
Movie 100,Comedy,2015,8.6,1543
