Date,StoreID,ProductCategory,UnitsSold,Revenue,Cost
2023-01-01,S2,Clothing,19,879.7,130.31
2023-01-02,S2,Clothing,3,408.06,198.29
2023-01-03,S2,Electronics,11,760.66,439.35
2023-01-04,S2,Clothing,9,654.45,340.31
2023-01-05,S2,Clothing,1,249.59,214.99
2023-01-06,S2,Clothing,12,544.0,597.01
2023-01-07,S3,Groceries,13,832.85,473.17
2023-01-08,S1,Clothing,16,750.6,480.62
2023-01-09,S3,Electronics,17,940.18,590.5
2023-01-10,S2,Groceries,5,816.13,138.61
2023-01-11,S1,Electronics,15,272.96,749.47
2023-01-12,S2,Electronics,2,769.86,688.56
2023-01-13,S1,Clothing,3,110.06,316.59
2023-01-14,S2,Groceries,5,113.48,473.16
2023-01-15,S3,Clothing,1,355.82,583.13
2023-01-16,S2,Groceries,6,841.07,723.82
2023-01-17,S3,Clothing,4,724.67,629.49
2023-01-18,S3,Electronics,6,766.9,663.29
2023-01-19,S1,Clothing,7,974.6,166.37
2023-01-20,S2,Clothing,17,557.88,560.38
2023-01-21,S1,Clothing,13,933.75,176.66
2023-01-22,S2,Electronics,2,997.06,778.62
2023-01-23,S1,Clothing,19,458.74,151.94
2023-01-24,S2,Electronics,18,791.68,131.53
2023-01-25,S3,Electronics,19,732.63,364.33
2023-01-26,S1,Electronics,11,864.35,680.34
2023-01-27,S1,Electronics,8,377.06,775.49
2023-01-28,S2,Groceries,1,394.63,706.21
2023-01-29,S1,Groceries,18,873.89,120.31
2023-01-30,S2,Clothing,9,185.77,246.61
2023-01-31,S2,Clothing,5,338.5,540.55
2023-02-01,S3,Clothing,7,542.93,75.53
2023-02-02,S2,Groceries,16,886.93,184.71
2023-02-03,S3,Groceries,12,483.33,558.72
2023-02-04,S2,Groceries,13,392.77,662.97
2023-02-05,S2,Electronics,12,104.22,771.75
2023-02-06,S2,Electronics,15,360.81,100.82
2023-02-07,S3,Electronics,1,169.28,593.36
2023-02-08,S3,Electronics,10,915.51,135.34
2023-02-09,S3,Clothing,10,777.97,155.02
2023-02-10,S1,Electronics,2,526.12,383.78
2023-02-11,S2,Electronics,3,673.75,105.66
2023-02-12,S3,Clothing,5,485.83,55.66
2023-02-13,S3,Electronics,18,125.93,691.63
2023-02-14,S1,Electronics,1,289.13,565.77
2023-02-15,S2,Electronics,17,454.37,123.85
2023-02-16,S1,Clothing,18,314.08,586.48
2023-02-17,S1,Groceries,3,192.52,640.85
2023-02-18,S1,Groceries,13,716.38,341.2
2023-02-19,S3,Groceries,17,544.19,316.11
2023-02-20,S1,Groceries,3,752.24,225.94
2023-02-21,S3,Clothing,13,427.3,381.89
2023-02-22,S1,Groceries,16,308.96,446.14
2023-02-23,S3,Electronics,15,712.13,751.7
2023-02-24,S3,Electronics,10,873.23,705.15
2023-02-25,S3,Groceries,8,557.76,756.36
2023-02-26,S2,Electronics,11,949.15,458.53
2023-02-27,S1,Electronics,6,100.99,500.23
2023-02-28,S3,Groceries,15,384.7,354.44
2023-03-01,S2,Electronics,3,509.51,89.01
2023-03-02,S3,Clothing,2,170.06,559.42
2023-03-03,S3,Groceries,12,821.37,88.89
2023-03-04,S2,Electronics,2,840.85,749.96
2023-03-05,S2,Groceries,2,742.2,479.47
2023-03-06,S2,Electronics,18,816.28,584.01
2023-03-07,S1,Electronics,10,329.67,658.38
2023-03-08,S3,Clothing,5,989.95,276.08
2023-03-09,S3,Electronics,15,947.02,771.73
2023-03-10,S2,Clothing,19,430.44,368.8
2023-03-11,S3,Groceries,17,780.67,552.61
2023-03-12,S2,Clothing,13,823.27,718.08
2023-03-13,S2,Clothing,2,960.71,492.44
2023-03-14,S1,Groceries,1,623.31,557.65
2023-03-15,S2,Electronics,15,605.83,636.07
2023-03-16,S3,Groceries,7,305.32,597.6
2023-03-17,S1,Clothing,19,261.21,200.0
2023-03-18,S2,Electronics,18,887.9,349.48
2023-03-19,S3,Electronics,19,765.79,348.69
2023-03-20,S2,Electronics,14,299.32,84.92
2023-03-21,S3,Electronics,7,456.67,376.91
2023-03-22,S1,Groceries,19,130.15,173.88
2023-03-23,S3,Electronics,11,787.22,474.5
2023-03-24,S2,Electronics,1,601.4,90.21
2023-03-25,S2,Groceries,5,465.86,511.9
2023-03-26,S1,Groceries,4,693.8,634.19
2023-03-27,S1,Electronics,18,832.44,321.05
2023-03-28,S1,Clothing,8,333.39,544.14
2023-03-29,S3,Clothing,7,774.39,550.02
2023-03-30,S2,Electronics,1,220.5,492.23
2023-03-31,S1,Clothing,7,230.92,448.28
2023-04-01,S2,Electronics,8,216.09,420.71
2023-04-02,S1,Electronics,5,747.6,82.81
2023-04-03,S2,Electronics,11,240.99,101.74
2023-04-04,S2,Clothing,7,689.7,262.53
2023-04-05,S2,Clothing,15,342.77,184.97
2023-04-06,S3,Groceries,6,348.5,357.36
2023-04-07,S3,Electronics,7,220.59,396.91
2023-04-08,S3,Electronics,12,311.82,246.09
2023-04-09,S1,Groceries,16,924.27,748.24
2023-04-10,S3,Groceries,3,210.55,602.72
