Pclass,Sex,Age,Fare,Survived
2,female,59.5,91.41,1
3,female,35.7,94.78,1
3,female,50.2,30.84,1
3,male,21.5,76.65,1
3,female,73.7,16.59,1
2,male,21.9,24.24,1
3,female,17.7,86.36,1
2,female,73.2,64.93,1
1,female,12.4,12.76,1
2,male,10.5,55.16,1
2,male,24.1,88.41,0
3,male,79.1,24.33,1
2,female,56.3,56.86,0
2,male,15.5,67.62,0
2,male,32.3,48.3,1
2,male,35.0,15.35,0
1,male,78.1,94.66,1
1,female,61.1,35.86,1
2,female,49.6,30.41,0
3,female,24.3,37.96,0
2,female,24.7,68.66,1
3,female,37.9,27.73,1
1,male,12.3,80.28,1
2,female,40.6,47.35,1
1,male,65.6,59.47,0
1,female,73.5,69.51,1
3,female,29.5,92.75,1
3,female,61.4,36.59,0
3,female,73.8,42.83,1
3,female,24.3,78.92,1
1,female,75.5,16.78,1
2,male,36.9,98.95,0
2,male,4.9,74.24,1
2,female,43.2,46.54,1
2,female,22.3,87.09,0
2,female,75.2,97.13,0
3,male,20.3,67.82,1
2,male,70.6,23.89,1
3,male,32.3,47.3,1
2,female,66.8,69.91,1
3,female,25.0,29.72,1
2,female,13.0,70.41,0
3,male,17.1,60.92,1
1,female,51.6,16.17,1
2,male,59.0,17.24,1
1,female,12.8,83.62,1
3,female,12.4,58.09,1
3,female,61.7,16.14,1
1,male,65.6,40.18,0
3,male,43.0,18.76,1
2,female,42.1,37.4,0
3,female,21.8,69.54,0
1,male,33.3,27.49,0
3,female,2.4,61.02,0
3,male,43.9,46.07,0
1,female,18.2,92.89,1
1,male,70.5,64.21,0
1,female,6.6,95.7,1
3,female,38.6,82.24,0
2,male,19.5,63.25,1
2,male,26.7,47.51,0
1,female,69.7,57.82,0
2,female,68.5,26.34,0
3,female,38.9,33.03,1
1,female,46.8,51.44,0
2,female,18.8,61.17,0
2,female,10.5,99.13,1
2,male,44.6,19.24,1
2,male,64.7,19.17,1
3,male,12.1,61.72,0
1,female,56.3,36.07,0
1,female,19.1,68.04,1
3,female,51.9,58.0,1
1,female,64.0,18.17,1
1,female,59.0,25.37,0
1,female,12.3,72.24,1
1,female,17.0,77.73,1
3,male,47.6,28.32,0
3,male,59.0,17.18,1
3,male,72.9,23.51,0
3,female,10.6,40.01,0
2,male,17.2,99.23,1
1,female,66.5,97.2,1
2,male,16.0,79.39,0
1,male,41.1,89.66,1
2,male,30.4,56.73,0
3,female,11.8,37.81,0
2,male,59.5,20.55,1
2,male,38.9,36.7,1
3,female,56.5,72.28,1
1,female,8.6,69.75,0
1,male,74.1,26.56,0
1,male,58.5,66.38,0
1,female,64.2,87.81,0
1,male,35.5,86.53,0
3,male,4.9,87.5,1
2,female,46.8,48.71,0
1,male,69.6,66.47,0
3,male,62.1,12.22,0
2,male,42.6,74.11,0
1,female,42.6,63.43,1
3,female,79.7,47.98,1
1,male,2.6,38.07,1
2,male,57.4,41.06,0
3,male,48.0,12.46,0
1,female,56.6,50.83,1
2,female,47.5,72.96,0
1,male,49.2,19.01,0
3,male,59.9,45.65,1
3,female,17.7,63.49,1
2,female,5.7,48.94,1
3,female,73.4,52.53,1
3,male,43.4,66.92,1
2,male,43.7,11.52,0
3,male,52.4,63.25,0
2,female,16.1,79.75,1
1,male,24.4,80.62,1
1,male,26.7,15.42,1
2,male,74.1,18.81,1
1,male,7.5,65.07,0
3,female,49.1,22.58,0
2,female,38.6,23.3,1
3,female,79.3,41.67,0
1,male,28.0,11.28,1
1,female,39.4,14.92,1
2,female,45.8,11.25,1
2,male,32.8,76.15,1
1,female,27.9,11.91,0
3,female,75.3,41.83,0
1,male,65.8,39.5,0
1,female,63.3,11.59,0
1,male,55.8,91.12,0
