CustomerID,Gender,Age,AnnualIncome,SpendingScore,Membership
1,Female,22,30000,45,Silver
2,Male,35,50000,60,Gold
3,Female,29,35000,65,Silver
4,Male,40,80000,30,Platinum
5,Female,23,27000,75,Silver
6,Male,31,67000,40,Gold
7,Female,26,41000,52,Gold
8,Male,37,72000,33,Platinum
9,Female,30,38000,60,Silver
10,Male,42,85000,25,Platinum
11,Female,28,32000,70,Silver
12,Male,36,64000,38,Gold
13,Female,33,40000,58,Silver
14,Male,45,95000,20,Platinum
15,Female,24,29000,72,Silver
16,Male,38,70000,29,Gold
17,Female,27,36000,66,Silver
18,Male,41,87000,22,Platinum
19,Female,32,39000,63,Silver
20,Male,39,69000,34,Gold
