ProductID,Category,Region,UnitPrice,QuantitySold,TotalSales,Discount
101,Electronics,North,1200,15,18000,0.10
102,Fashion,South,1500,8,12000,0.15
103,Electronics,West,1100,20,22000,0.05
104,Home,East,900,18,16200,0.10
105,Fashion,North,1300,12,15600,0.20
106,Electronics,South,1400,10,14000,0.00
107,Home,West,850,14,11900,0.05
108,Fashion,East,1600,9,14400,0.10
109,Electronics,North,1350,13,17550,0.10
110,Fashion,South,1550,11,17050,0.15
111,Home,East,920,16,14720,0.10
112,Electronics,West,1250,19,23750,0.05
113,Fashion,North,1450,7,10150,0.10
114,Home,South,980,15,14700,0.10
115,Electronics,East,1500,10,15000,0.05
116,Fashion,West,1400,9,12600,0.15
117,Home,North,890,17,15130,0.00
118,Electronics,South,1380,14,19320,0.05
119,Fashion,East,1350,10,13500,0.10
120,Home,West,910,13,11830,0.00
