purchase_frequency,support_calls,product_quality,return_rate,satisfaction
7,1,High,0.06305806757,1
4,1,Low,0.1078982585,1
13,5,Medium,0.158144633,0
11,0,High,0.06375050059,1
8,3,Medium,0.1251782753,1
13,1,Medium,0.1771955496,1
5,5,High,0.1231726376,1
7,6,High,0.04659189495,1
10,5,Medium,0.004880156311,1
3,2,Medium,0.1740197748,0
7,3,Medium,0.00425388217,1
11,4,Medium,0.1749403345,0
11,0,Medium,0.1057874268,1
8,7,Medium,0.1878135397,0
5,4,Medium,0.1597566472,0
4,3,Medium,0.1995868221,1
8,3,High,0.07014236309,1
8,3,High,0.1534376578,1
3,4,High,0.08038618272,1
6,6,Medium,0.09597512406,1
5,3,Medium,0.1255010926,1
2,5,Medium,0.1747354228,0
8,4,High,0.1968166938,0
12,7,High,0.1536546828,1
14,3,High,0.08355335643,1
6,5,High,0.08427140046,1
2,6,Medium,0.1475164603,1
12,2,High,0.04775542915,0
5,6,High,0.02209482263,0
1,7,Low,0.07092443153,1
12,3,High,0.05744779833,1
10,7,Medium,0.05926162409,1
6,4,Medium,0.04672155021,0
13,1,High,0.008418637927,1
12,3,Medium,0.003574786947,1
9,1,Medium,0.1975444779,1
1,5,Low,0.08555462675,0
11,2,High,0.07686532943,1
11,0,Low,0.1359294565,1
10,7,High,0.04365077757,1
12,6,High,0.1899922368,1
12,2,High,0.1572690029,1
14,3,Low,0.01788220046,0
14,1,High,0.08351615516,1
14,6,High,0.1758236615,1
3,1,Medium,0.1889464045,1
12,4,High,0.09348030225,1
7,1,High,0.1226822778,1
4,4,High,0.03340678922,1
9,5,High,0.1982337252,0
3,6,High,0.04633434028,1
5,6,High,0.1885463548,0
3,0,Medium,0.1299293298,1
7,3,High,0.121547359,0
5,4,High,0.1025377022,0
9,0,Medium,0.04613396234,1
7,1,High,0.0353056064,1
2,1,Medium,0.04409724181,1
4,0,High,0.03728765243,0
9,6,High,0.1559168947,0
12,1,High,0.07002505183,1
14,7,High,0.01156853531,1
2,5,High,0.193820526,0
10,5,High,0.176757177,0
9,7,High,0.1855504566,0
10,0,High,0.1989815645,0
5,7,High,0.03477904984,1
2,4,High,0.07924840378,0
4,4,High,0.1516476951,0
12,0,Medium,0.1392041236,1
12,7,Medium,0.03077918127,1
7,4,High,0.163166625,0
12,6,Medium,0.04488811437,1
13,7,Medium,0.04476352296,1
8,6,High,0.1073948846,1
3,4,Medium,0.118587987,1
14,5,Low,0.1160172416,1
1,4,High,0.01829736748,1
4,6,High,0.1754921725,0
2,2,Medium,0.05312000852,1
8,3,Medium,0.02590298426,0
4,1,High,0.177749616,1
2,7,High,0.1911302996,0
14,2,High,0.1724255235,1
6,4,High,0.1619032149,0
6,5,Medium,0.1310483961,0
10,0,High,0.1101714741,1
4,4,High,0.01739735198,1
6,5,Medium,0.08169064261,1
13,3,High,0.0745377034,1
2,4,High,0.05195075675,1
10,6,Medium,0.1446840227,1
12,0,Medium,0.09917514702,1
2,5,Medium,0.01620924318,1
10,5,Medium,0.04403664039,1
14,5,High,0.1366517527,1
4,3,High,0.0152261719,1
14,4,Medium,0.1702413828,0
8,3,High,0.0990293054,0
14,7,High,0.09611731547,1
7,1,High,0.1184815569,1
12,1,High,0.1649361932,1
9,7,High,0.06956184158,1
14,4,High,0.1356032305,1
8,6,High,0.1131463928,1
5,3,High,0.05340565403,0
13,0,Medium,0.1757259973,1
2,5,Medium,0.1594852043,0
5,5,Medium,0.1316903669,1
8,4,Medium,0.1701163458,0
10,6,High,0.1734588402,0
9,1,High,0.1416725953,0
